;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;Whiplash;2014;Tous publics;106;['Drama', ' Music            '];8.5;88;A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.;['Damien Chazelle', None];['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']
1;Le pianiste;2002;Tous publics;150;['Biography', ' Drama', ' Music            '];8.5;85;A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.;['Roman Polanski', None];['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']
2;Coco;I) (2017;Tous publics;105;['Animation', ' Adventure', ' Comedy            '];8.4;81;Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.;['    Directors:', 'Lee Unkrich, ', 'Adrian Molina', None];['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']
3;Amadeus;1984;Tous publics;160;['Biography', ' Drama', ' Music            '];8.4;88;The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.;['Milos Forman', None];['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']
4;Andhadhun;2018;NaN;139;['Comedy', ' Crime', ' Music            '];8.2;-1;A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.;['Sriram Raghavan', None];['Tabu', 'Ayushmann Khurrana', 'Radhika Apte', 'Anil Dhawan']
5;Green Book: Sur les routes du sud;2018;Tous publics;130;['Biography', ' Comedy', ' Drama            '];8.2;69;A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.;['Peter Farrelly', None];['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']
6;Certains l'aiment chaud;1959;12;121;['Comedy', ' Music', ' Romance            '];8.2;98;After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.;['Billy Wilder', None];['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']
7;Un homme dans la foule;1957;Tous publics;126;['Drama', ' Music            '];8.2;72;A female radio reporter turns a folk-singing drifter into a powerful media star.;['Elia Kazan', None];['Andy Griffith', 'Patricia Neal', 'Anthony Franciosa', 'Walter Matthau']
8;Sonate d'automne;1978;Tous publics;99;['Drama', ' Music            '];8.1;-1;A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.;['Ingmar Bergman', None];['Ingrid Bergman', 'Liv Ullmann', 'Lena Nyman', 'Halvar Björk']
9;Les chaussons rouges;1948;Tous Public;135;['Drama', ' Music', ' Romance            '];8.1;-1;A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.;['    Directors:', 'Michael Powell, ', 'Emeric Pressburger', None];['Anton Walbrook', 'Marius Goring', 'Moira Shearer', 'Robert Helpmann']
