;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;Forrest Gump;1994;Tous publics;142;['Drama', ' Romance            '];8.8;82;The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.;['Robert Zemeckis', None];['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']
1;La vie est belle;1997;Tous publics;116;['Comedy', ' Drama', ' Romance            '];8.6;59;When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.;['Roberto Benigni', None];['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']
2;La vie est belle;1946;Tous publics;130;['Drama', ' Family', ' Fantasy            '];8.6;89;An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.;['Frank Capra', None];['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']
3;Nos meilleures années;2003;R;366;['Drama', ' Romance            '];8.5;89;An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.;['Marco Tullio Giordana', None];['Luigi Lo Cascio', 'Alessio Boni', 'Jasmine Trinca', 'Adriana Asti']
4;Casablanca;1942;Tous publics;102;['Drama', ' Romance', ' War            '];8.5;100;A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.;['Michael Curtiz', None];['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']
5;Les temps modernes;1936;Tous publics;87;['Comedy', ' Drama', ' Romance            '];8.5;96;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.;['Charles Chaplin', None];['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']
6;Les lumières de la ville;1931;Tous publics;87;['Comedy', ' Drama', ' Romance            '];8.5;99;With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.;['Charles Chaplin', None];['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']
7;Eternal Sunshine of the Spotless Mind;2004;Tous publics;108;['Drama', ' Romance', ' Sci-Fi            '];8.3;89;When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.;['Michel Gondry', None];['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']
8;Le fabuleux destin d'Amélie Poulain;2001;Tous publics;122;['Comedy', ' Romance            '];8.3;69;Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.;['Jean-Pierre Jeunet', None];['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta']
9;Will Hunting;1997;Tous publics;126;['Drama', ' Romance            '];8.3;70;Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.;['Gus Van Sant', None];['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård']
10;A Brighter Summer Day;1991;14+;237;['Crime', ' Drama', ' Romance            '];8.3;90;Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax.;['Edward Yang', None];['Chang Chen', 'Lisa Yang', 'Kuo-Chu Chang', 'Elaine Jin']
11;La garçonnière;1960;Tous publics;125;['Comedy', ' Drama', ' Romance            '];8.3;94;A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.;['Billy Wilder', None];['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']
12;Sueurs froides;1958;Tous publics;128;['Mystery', ' Romance', ' Thriller            '];8.3;100;A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.;['Alfred Hitchcock', None];['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']
13;Chantons sous la pluie;1952;Tous publics;103;['Comedy', ' Musical', ' Romance            '];8.3;99;A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.;['    Directors:', 'Stanley Donen, ', 'Gene Kelly', None];"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen']"
14;On ne vit qu'une seule fois;2011;NaN;155;['Comedy', ' Drama', ' Musical            '];8.2;-1;Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.;['Zoya Akhtar', None];['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif']
15;Jo Jeeta Wohi Sikandar;1992;NaN;174;['Comedy', ' Drama', ' Romance            '];8.2;-1;A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.;['Mansoor Khan', None];['Aamir Khan', 'Ayesha Jhulka', 'Deepak Tijori', 'Pooja Bedi']
16;Certains l'aiment chaud;1959;12;121;['Comedy', ' Music', ' Romance            '];8.2;98;After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.;['Billy Wilder', None];['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']
17;Jeux dangereux;1942;Tous publics;99;['Comedy', ' Romance', ' War            '];8.2;86;During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.;['Ernst Lubitsch', None];['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart']
18;Autant en emporte le vent;1939;Tous publics;238;['Drama', ' Romance', ' War            '];8.2;97;The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.;['    Directors:', 'Victor Fleming, ', 'George Cukor, ', 'Sam Wood', None];"['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]"
19;Sherlock Junior;1924;Tous publics;45;['Action', ' Comedy', ' Romance            '];8.2;-1;A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.;['Buster Keaton', None];['Buster Keaton', 'Kathryn McGuire', 'Joe Keaton', 'Erwin Connelly']
20;Before Sunset;2004;Tous publics;80;['Drama', ' Romance            '];8.1;90;Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.;['Richard Linklater', None];['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès']
21;Yi yi;2000;Tous publics;173;['Drama', ' Romance            '];8.1;93;Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.;['Edward Yang', None];['Nien-Jen Wu', 'Elaine Jin', 'Issei Ogata', 'Kelly Lee']
22;Before Sunrise;1995;Tous publics;101;['Drama', ' Romance            '];8.1;77;A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.;['Richard Linklater', None];['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl']
23;Un jour sans fin;1993;Tous publics;101;['Comedy', ' Drama', ' Fantasy            '];8.1;72;A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.;['Harold Ramis', None];['Bill Murray', 'Andie MacDowell', 'Chris Elliott', 'Stephen Tobolowsky']
24;Une femme sous influence;1974;Tous publics;155;['Drama', ' Romance            '];8.1;88;Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage.;['John Cassavetes', None];['Gena Rowlands', 'Peter Falk', 'Fred Draper', 'Lady Rowlands']
25;La mélodie du bonheur;1965;Tous publics;172;['Biography', ' Drama', ' Family            '];8.1;63;A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.;['Robert Wise', None];['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn']
26;L'héritière;1949;Tous publics;115;['Drama', ' Romance            '];8.1;-1;A young naive woman falls for a handsome young man who her emotionally abusive father suspects is a fortune hunter.;['William Wyler', None];['Olivia de Havilland', 'Montgomery Clift', 'Ralph Richardson', 'Miriam Hopkins']
27;Les chaussons rouges;1948;Tous Public;135;['Drama', ' Music', ' Romance            '];8.1;-1;A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.;['    Directors:', 'Michael Powell, ', 'Emeric Pressburger', None];['Anton Walbrook', 'Marius Goring', 'Moira Shearer', 'Robert Helpmann']
28;Les Plus Belles Années de notre vie;1946;Tous publics;170;['Drama', ' Romance', ' War            '];8.1;93;Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.;['William Wyler', None];['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']
29;Rebecca;1940;Tous publics;130;['Drama', ' Film-Noir', ' Mystery            '];8.1;86;A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.;['Alfred Hitchcock', None];['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']
30;New York - Miami;1934;Tous publics;105;['Comedy', ' Romance            '];8.1;87;A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.;['Frank Capra', None];['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']
31;Le cirque;1928;Tous publics;72;['Comedy', ' Family', ' Romance            '];8.1;90;The Tramp finds work and the girl of his dreams at a circus.;['Charles Chaplin', None];['Charles Chaplin', 'Merna Kennedy', 'Al Ernest Garcia', 'Harry Crocker']
32;L'aurore;1927;Tous publics;94;['Drama', ' Romance            '];8.1;-1;A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he ends up rekindling his romance with his wife when she discovers their scheme.;['F.W. Murnau', None];"[""George O'Brien"", 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing']"
