;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;Alien - Le 8ème passager;1979;12;117;['Horror', ' Sci-Fi            '];8.5;89;The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.;['Ridley Scott', None];['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']
1;Psychose;1960;18;109;['Horror', ' Mystery', ' Thriller            '];8.5;97;A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.;['Alfred Hitchcock', None];['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']
2;Shining;1980;12;146;['Drama', ' Horror            '];8.4;66;A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.;['Stanley Kubrick', None];['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']
3;It's Such a Beautiful Day;2012;NaN;62;['Animation', ' Comedy', ' Drama            '];8.2;90;Bill struggles to put together his shattered psyche, in this new feature film version of Don Hertzfeldt's animated short film trilogy.;[];['    Director:', 'Don Hertzfeldt']
4;The Thing;1982;13;109;['Horror', ' Mystery', ' Sci-Fi            '];8.2;57;A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.;['John Carpenter', None];['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']
5;L'Exorciste;1973;18;122;['Horror            '];8.1;81;When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.;['William Friedkin', None];['Ellen Burstyn', 'Max von Sydow', 'Linda Blair', 'Lee J. Cobb']
6;Les diaboliques;1955;Tous publics;117;['Crime', ' Drama', ' Horror            '];8.1;-1;The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.;['Henri-Georges Clouzot', None];['Simone Signoret', 'Véra Clouzot', 'Paul Meurisse', 'Charles Vanel']
7;Faust;1926;NaN;107;['Drama', ' Fantasy', ' Horror            '];8.1;-1;The demon Mephisto wagers with God that he can corrupt a mortal man's soul.;['F.W. Murnau', None];['Gösta Ekman', 'Emil Jannings', 'Camilla Horn', 'Frida Richard']
8;Rosemary's Baby;1968;12;137;['Drama', ' Horror            '];8.0;96;A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.;['Roman Polanski', None];['Mia Farrow', 'John Cassavetes', 'Ruth Gordon', 'Sidney Blackmer']
9;Qu'est-il arrivé à Baby Jane?;1962;12;134;['Drama', ' Horror', ' Thriller            '];8.0;75;A former child star torments her paraplegic sister in their decaying Hollywood mansion.;['Robert Aldrich', None];['Bette Davis', 'Joan Crawford', 'Victor Buono', 'Wesley Addy']
10;Shaun of the Dead;2004;12;99;['Comedy', ' Horror            '];7.9;76;The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.;['Edgar Wright', None];['Simon Pegg', 'Nick Frost', 'Kate Ashfield', 'Lucy Davis']
11;King Kong, la huitième merveille du monde;1933;Tous publics;100;['Adventure', ' Horror', ' Sci-Fi            '];7.9;90;A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.;['    Directors:', 'Merian C. Cooper, ', 'Ernest B. Schoedsack', None];['Fay Wray', 'Robert Armstrong', 'Bruce Cabot', 'Frank Reicher']
12;Nosferatu le vampire;1922;Tous Publics;94;['Fantasy', ' Horror            '];7.9;-1;Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.;['F.W. Murnau', None];['Max Schreck', 'Alexander Granach', 'Gustav von Wangenheim', 'Greta Schröder']
