;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;Le Roi Lion;1994;Tous publics;88;['Animation', ' Adventure', ' Drama            '];8.5;88;Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.;['    Directors:', 'Roger Allers, ', 'Rob Minkoff', None];['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']
1;Hamilton;2020;12;160;['Biography', ' Drama', ' History            '];8.4;90;The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.;['Thomas Kail', None];['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']
2;Chantons sous la pluie;1952;Tous publics;103;['Comedy', ' Musical', ' Romance            '];8.3;99;A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.;['    Directors:', 'Stanley Donen, ', 'Gene Kelly', None];"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen']"
3;On ne vit qu'une seule fois;2011;NaN;155;['Comedy', ' Drama', ' Musical            '];8.2;-1;Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.;['Zoya Akhtar', None];['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif']
4;Swades: Nous, le peuple;2004;NaN;210;['Drama', ' Musical            '];8.2;-1;A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.;['Ashutosh Gowariker', None];['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal', 'Smith Seth']
5;Lagaan;2001;Tous publics;224;['Drama', ' Musical', ' Sport            '];8.1;84;The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.;['Ashutosh Gowariker', None];['Aamir Khan', 'Raghuvir Yadav', 'Gracy Singh', 'Rachel Shelley']
6;La mélodie du bonheur;1965;Tous publics;172;['Biography', ' Drama', ' Family            '];8.1;63;A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.;['Robert Wise', None];['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn']
7;Le magicien d'Oz;1939;Tous publics;102;['Adventure', ' Family', ' Fantasy            '];8.1;92;Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.;['    Directors:', 'Victor Fleming, ', 'George Cukor, ', 'Mervyn LeRoy, ', 'Norman Taurog, ', 'Richard Thorpe, ', 'King Vidor', None];['Judy Garland', 'Frank Morgan', 'Ray Bolger', 'Bert Lahr']
8;La La Land;2016;Tous publics;128;['Comedy', ' Drama', ' Music            '];8.0;94;While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.;['Damien Chazelle', None];['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']
9;Aladdin;1992;Tous publics;90;['Animation', ' Adventure', ' Comedy            '];8.0;86;A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.;['    Directors:', 'Ron Clements, ', 'John Musker', None];['Scott Weinger', 'Robin Williams', 'Linda Larkin', 'Jonathan Freeman']
