;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;La liste de Schindler;1993;Tous publics;195;['Biography', ' Drama', ' History            '];9.0;94;In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.;['Steven Spielberg', None];['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']
1;Rocketry: The Nambi Effect;2022;NaN;157;['Biography', ' Drama            '];8.9;-1;Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.;['Madhavan', None];['Madhavan', 'Simran', 'Rajit Kapoor', 'Ravi Raghavendra']
2;Les affranchis;1990;16;145;['Biography', ' Crime', ' Drama            '];8.7;90;The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.;['Martin Scorsese', None];['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']
3;Intouchables;2011;Tous publics;112;['Biography', ' Comedy', ' Drama            '];8.5;57;After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.;['    Directors:', 'Olivier Nakache, ', 'Éric Toledano', None];['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']
4;Le pianiste;2002;Tous publics;150;['Biography', ' Drama', ' Music            '];8.5;85;A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.;['Roman Polanski', None];['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']
5;Hamilton;2020;12;160;['Biography', ' Drama', ' History            '];8.4;90;The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.;['Thomas Kail', None];['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']
6;Sardar Udham;2021;16;164;['Biography', ' Crime', ' Drama            '];8.4;-1;A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.;['Shoojit Sircar', None];['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar']
7;Braveheart;1995;Tous publics;178;['Biography', ' Drama', ' History            '];8.4;68;Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.;['Mel Gibson', None];['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']
8;Amadeus;1984;Tous publics;160;['Biography', ' Drama', ' Music            '];8.4;88;The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.;['Milos Forman', None];['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']
9;Ayla;2017;NaN;125;['Biography', ' Drama', ' History            '];8.3;-1;"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »
";['Can Ulkay', None];['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']
10;Dangal;2016;Tous publics;161;['Action', ' Biography', ' Drama            '];8.3;-1;Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.;['Nitesh Tiwari', None];['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']
11;Lawrence d'Arabie;1962;Tous publics;218;['Adventure', ' Biography', ' Drama            '];8.3;100;The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.;['David Lean', None];"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']"
12;Pocket Hercules: Naim Süleymanoglu;2019;Tous publics;141;['Biography', ' Drama', ' Sport            '];8.2;-1;The biography of Turkish weight lifter, and champion of Olympics, Naim Suleymanoglu.;['Özer Feyzioglu', None];['Hayat Van Eck', 'Selen Öztürk', 'Yetkin Dikinciler', 'Gürkan Uygun']
13;Green Book: Sur les routes du sud;2018;Tous publics;130;['Biography', ' Comedy', ' Drama            '];8.2;69;A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.;['Peter Farrelly', None];['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']
14;Shahid;2012;NaN;129;['Biography', ' Drama            '];8.2;-1;The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.;['Hansal Mehta', None];['Rajkummar Rao', 'Prabhleen Sandhu', 'Mohd. Zeeshan Ayyub', 'Baljinder Kaur']
15;Le loup de Wall Street;2013;12;180;['Biography', ' Comedy', ' Crime            '];8.2;75;Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.;['Martin Scorsese', None];['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']
16;La chute;2004;Tous publics avec avertissement;156;['Biography', ' Drama', ' History            '];8.2;82;Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.;['Oliver Hirschbiegel', None];['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler']
17;Un homme d'exception;2001;Tous publics;135;['Biography', ' Drama            '];8.2;72;After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.;['Ron Howard', None];['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']
18;Raging Bull;1980;12;129;['Biography', ' Drama', ' Sport            '];8.2;89;The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.;['Martin Scorsese', None];['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']
19;Le Lion du désert;1980;Tous publics;173;['Biography', ' Drama', ' History            '];8.2;-1;In 1929, Italian Fascist dictator Benito Mussolini appoints General Rodolfo Graziani as colonial governor to Italian Libya with orders to stamp-out all resistance from Libyan nationalists led by rebel guerrilla leader Omar Mukhtar.;['Moustapha Akkad', None];['Anthony Quinn', 'Oliver Reed', 'Rod Steiger', 'Irene Papas']
20;Elephant Man;1980;Tous publics;124;['Biography', ' Drama            '];8.2;78;A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.;['David Lynch', None];['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']
21;Tu ne tueras point;2016;12;139;['Biography', ' Drama', ' History            '];8.1;71;World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.;['Mel Gibson', None];['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']
22;12 Years a Slave;2013;Tous publics avec avertissement;134;['Biography', ' Drama', ' History            '];8.1;96;In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.;['Steve McQueen', None];['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt']
23;Rush;I) (2013;Tous publics;123;['Action', ' Biography', ' Drama            '];8.1;74;The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.;['Ron Howard', None];['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde', 'Alexandra Maria Lara']
24;Le Mans '66;2019;Tous publics;152;['Action', ' Biography', ' Drama            '];8.1;81;American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.;['James Mangold', None];['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe']
25;Spotlight;I) (2015;Tous publics;129;['Biography', ' Crime', ' Drama            '];8.1;93;The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.;['Tom McCarthy', None];['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']
26;Hatchi;2009;Tous publics;93;['Biography', ' Drama', ' Family            '];8.1;-1;A college professor bonds with an abandoned dog he takes into his home.;['Lasse Hallström', None];['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa', 'Sarah Roemer']
27;Into the Wild;2007;Tous publics;148;['Adventure', ' Biography', ' Drama            '];8.1;73;After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.;['Sean Penn', None];['Emile Hirsch', 'Vince Vaughn', 'Catherine Keener', 'Marcia Gay Harden']
28;Hôtel Rwanda;2004;Tous Public;121;['Biography', ' Drama', ' History            '];8.1;79;Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.;['Terry George', None];['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']
