;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;Boulevard du Crépuscule;1950;Tous publics;110;['Drama', ' Film-Noir            '];8.4;-1;A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.;['Billy Wilder', None];['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']
1;Assurance sur la mort;1944;Tous publics;107;['Crime', ' Drama', ' Film-Noir            '];8.3;95;A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.;['Billy Wilder', None];['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr']
2;Je suis un évadé;1932;NaN;92;['Crime', ' Drama', ' Film-Noir            '];8.2;-1;Wrongly convicted James Allen serves in the intolerable conditions of a Southern chain gang, which later comes back to haunt him.;['Mervyn LeRoy', None];['Paul Muni', 'Glenda Farrell', 'Helen Vinson', 'Noel Francis']
3;Le gouffre aux chimères;1951;Tous publics;111;['Drama', ' Film-Noir            '];8.1;72;A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.;['Billy Wilder', None];['Kirk Douglas', 'Jan Sterling', 'Robert Arthur', 'Porter Hall']
4;L'enfer est à lui;1949;16;114;['Action', ' Crime', ' Drama            '];8.1;-1;A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.;['Raoul Walsh', None];"['James Cagney', 'Virginia Mayo', ""Edmond O'Brien"", 'Margaret Wycherly']"
5;Le troisième homme;1949;Tous publics;104;['Film-Noir', ' Mystery', ' Thriller            '];8.1;97;Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.;['Carol Reed', None];['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']
6;Rebecca;1940;Tous publics;130;['Drama', ' Film-Noir', ' Mystery            '];8.1;86;A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.;['Alfred Hitchcock', None];['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']
7;La soif du mal;1958;Tous Public;95;['Crime', ' Drama', ' Film-Noir            '];8.0;99;A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.;['Orson Welles', None];['Charlton Heston', 'Orson Welles', 'Janet Leigh', 'Joseph Calleia']
8;Le Grand Chantage;1957;Tous publics;96;['Drama', ' Film-Noir            '];8.0;100;Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.;['Alexander Mackendrick', None];['Burt Lancaster', 'Tony Curtis', 'Susan Harrison', 'Martin Milner']
9;L'ultime razzia;1956;Tous publics;84;['Crime', ' Drama', ' Film-Noir            '];8.0;91;Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.;['Stanley Kubrick', None];['Sterling Hayden', 'Coleen Gray', 'Vince Edwards', 'Jay C. Flippen']
10;La nuit du chasseur;1955;Tous publics;92;['Crime', ' Drama', ' Film-Noir            '];8.0;99;A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.;['Charles Laughton', None];['Robert Mitchum', 'Shelley Winters', 'Lillian Gish', 'James Gleason']
11;La griffe du passé;1947;Tous Public;97;['Crime', ' Drama', ' Film-Noir            '];8.0;85;A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses, and duplicitous dames.;['Jacques Tourneur', None];['Robert Mitchum', 'Jane Greer', 'Kirk Douglas', 'Rhonda Fleming']
12;Le faucon maltais;1941;Tous publics;100;['Crime', ' Film-Noir', ' Mystery            '];8.0;97;San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.;['John Huston', None];['Humphrey Bogart', 'Mary Astor', 'Gladys George', 'Peter Lorre']
13;Règlement de comptes;1953;NaN;89;['Crime', ' Film-Noir', ' Thriller            '];7.9;-1;Tough cop Dave Bannion takes on a politically powerful crime syndicate.;['Fritz Lang', None];['Glenn Ford', 'Gloria Grahame', 'Jocelyn Brando', 'Alexander Scourby']
