;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;La liste de Schindler;1993;Tous publics;195;['Biography', ' Drama', ' History            '];9.0;94;In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.;['Steven Spielberg', None];['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']
1;Joli village, jolie flamme;1996;NaN;115;['Comedy', ' Drama', ' History            '];8.6;-1;During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature.;['Srdjan Dragojevic', None];['Dragan Bjelogrlic', 'Nikola Kojo', 'Dragan Maksimovic', 'Zoran Cvijanovic']
2;Hamilton;2020;12;160;['Biography', ' Drama', ' History            '];8.4;90;The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.;['Thomas Kail', None];['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']
3;Sardar Udham;2021;16;164;['Biography', ' Crime', ' Drama            '];8.4;-1;A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.;['Shoojit Sircar', None];['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar']
4;Black Friday;2004;NaN;143;['Action', ' Crime', ' Drama            '];8.4;76;A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.;['Anurag Kashyap', None];['Kay Kay Menon', 'Pawan Malhotra', 'Aditya Srivastav', 'Dibyendu Bhattacharya']
5;Braveheart;1995;Tous publics;178;['Biography', ' Drama', ' History            '];8.4;68;Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.;['Mel Gibson', None];['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']
6;Ayla;2017;NaN;125;['Biography', ' Drama', ' History            '];8.3;-1;"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »
";['Can Ulkay', None];['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']
7;La chute;2004;Tous publics avec avertissement;156;['Biography', ' Drama', ' History            '];8.2;82;Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.;['Oliver Hirschbiegel', None];['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler']
8;Le Lion du désert;1980;Tous publics;173;['Biography', ' Drama', ' History            '];8.2;-1;In 1929, Italian Fascist dictator Benito Mussolini appoints General Rodolfo Graziani as colonial governor to Italian Libya with orders to stamp-out all resistance from Libyan nationalists led by rebel guerrilla leader Omar Mukhtar.;['Moustapha Akkad', None];['Anthony Quinn', 'Oliver Reed', 'Rod Steiger', 'Irene Papas']
9;La Grande Évasion;1963;Tous publics;172;['Adventure', ' Drama', ' History            '];8.2;86;Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.;['John Sturges', None];['Steve McQueen', 'James Garner', 'Richard Attenborough', 'Charles Bronson']
10;Tu ne tueras point;2016;12;139;['Biography', ' Drama', ' History            '];8.1;71;World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.;['Mel Gibson', None];['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer']
11;12 Years a Slave;2013;Tous publics avec avertissement;134;['Biography', ' Drama', ' History            '];8.1;96;In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.;['Steve McQueen', None];['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt']
12;Hôtel Rwanda;2004;Tous Public;121;['Biography', ' Drama', ' History            '];8.1;79;Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.;['Terry George', None];['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']
13;Le message;1976;Tous Public;177;['Biography', ' Drama', ' History            '];8.1;-1;This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.;['Moustapha Akkad', None];['Anthony Quinn', 'Irene Papas', 'Michael Ansara', 'Johnny Sekka']
14;Procès de singe;1960;Tous Public;128;['Biography', ' Drama', ' History            '];8.1;75;Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution.;['Stanley Kramer', None];['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Dick York']
15;La Voix d'Aida;2020;Tous publics;101;['Drama', ' History', ' War            '];8.0;97;Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp.;['Jasmila Zbanic', None];['Jasna Djuricic', 'Izudin Bajrovic', 'Boris Ler', 'Dino Bajrovic']
16;Dedemin Insanlari;2011;NaN;126;['Comedy', ' Drama', ' Family            '];8.0;-1;"Grandpapa and his family were torn from their land, forced to migrate from Crete during the population exchange when he was just seven years old. Grands greatest desire is to see the land ...                See full summary »
";['Cagan Irmak', None];['Çetin Tekindor', 'Yigit Özsener', 'Gökçe Bahadir', 'Sacide Tasaner']
17;The Revenant;2015;12;156;['Action', ' Adventure', ' Drama            '];8.0;76;A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.;['Alejandro G. Iñárritu', None];['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson']
18;Le discours d'un roi;2010;Tous publics;118;['Biography', ' Drama', ' History            '];8.0;88;The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.;['Tom Hooper', None];['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Derek Jacobi']
19;Ip man;2008;12;106;['Action', ' Biography', ' Drama            '];8.0;59;During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.;['Wilson Yip', None];['Donnie Yen', 'Simon Yam', 'Siu-Wong Fan', 'Ka-Tung Lam']
20;Persepolis;2007;Tous publics;96;['Animation', ' Biography', ' Drama            '];8.0;90;A precocious and outspoken Iranian girl grows up during the Islamic Revolution.;['    Directors:', 'Vincent Paronnaud, ', 'Marjane Satrapi', None];['Chiara Mastroianni', 'Catherine Deneuve', 'Gena Rowlands', 'Danielle Darrieux']
21;JFK;1991;Tous publics;189;['Drama', ' History', ' Thriller            '];8.0;72;New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.;['Oliver Stone', None];['Kevin Costner', 'Gary Oldman', 'Jack Lemmon', 'Walter Matthau']
22;Le cuirassé Potemkine;1925;Tous publics;75;['Drama', ' History', ' Thriller            '];8.0;97;In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.;['Sergei Eisenstein', None];['Aleksandr Antonov', 'Vladimir Barskiy', 'Grigoriy Aleksandrov', 'Ivan Bobrov']
23;A Taxi Driver;2017;NaN;137;['Action', ' Drama', ' History            '];7.9;69;A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.;['Hun Jang', None];['Song Kang-ho', 'Thomas Kretschmann', 'Hae-Jin Yoo', 'Ryu Jun-Yeol']
24;Togo;2019;Tous Public;113;['Adventure', ' Biography', ' Drama            '];7.9;69;The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.;['Ericson Core', None];['Willem Dafoe', 'Julianne Nicholson', 'Christopher Heyerdahl', 'Richard Dormer']
25;Lettres d'Iwo Jima;2006;Tous publics;141;['Action', ' Adventure', ' Drama            '];7.9;89;The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.;['Clint Eastwood', None];['Ken Watanabe', 'Kazunari Ninomiya', 'Tsuyoshi Ihara', 'Ryô Kase']
26;Les hommes du président;1976;Tous publics;138;['Drama', ' History', ' Thriller            '];7.9;84;"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.";['Alan J. Pakula', None];['Dustin Hoffman', 'Robert Redford', 'Jack Warden', 'Martin Balsam']
27;Le lion en hiver;1968;Tous publics;134;['Biography', ' Drama', ' History            '];7.9;-1;1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.;['Anthony Harvey', None];"[""Peter O'Toole"", 'Katharine Hepburn', 'Anthony Hopkins', 'John Castle']"
28;De sang-froid;1967;12;134;['Biography', ' Crime', ' Drama            '];7.9;89;Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.;['Richard Brooks', None];['Robert Blake', 'Scott Wilson', 'John Forsythe', 'Paul Stewart']
