;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;Le voyage de Chihiro;2001;Tous publics;125;['Animation', ' Adventure', ' Family            '];8.6;96;During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.;['Hayao Miyazaki', None];['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']
1;La ligne verte;1999;12;189;['Crime', ' Drama', ' Fantasy            '];8.6;61;The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.;['Frank Darabont', None];['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']
2;Seven;1995;12;127;['Crime', ' Drama', ' Mystery            '];8.6;65;Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.;['David Fincher', None];['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']
3;Le Prestige;2006;Tous publics;130;['Drama', ' Mystery', ' Sci-Fi            '];8.5;66;After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.;['Christopher Nolan', None];['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']
4;Usual Suspects;1995;Tous publics;106;['Crime', ' Drama', ' Mystery            '];8.5;77;A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.;['Bryan Singer', None];['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']
5;Apocalypse Now;1979;Tous publics avec avertissement;147;['Drama', ' Mystery', ' War            '];8.5;94;A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.;['Francis Ford Coppola', None];['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']
6;Psychose;1960;18;109;['Horror', ' Mystery', ' Thriller            '];8.5;97;A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.;['Alfred Hitchcock', None];['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']
7;Fenêtre sur cour;1954;Tous publics;112;['Mystery', ' Thriller            '];8.5;100;A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.;['Alfred Hitchcock', None];['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']
8;Coco;I) (2017;Tous publics;105;['Animation', ' Adventure', ' Comedy            '];8.4;81;Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.;['    Directors:', 'Lee Unkrich, ', 'Adrian Molina', None];['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']
9;Memento;2000;Tous publics;113;['Mystery', ' Thriller            '];8.4;80;A man with short-term memory loss attempts to track down his wife's murderer.;['Christopher Nolan', None];['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']
10;Témoin à charge;1957;Tous publics;116;['Crime', ' Drama', ' Mystery            '];8.4;76;A veteran British barrister must defend his client in a murder trial that has surprise after surprise.;['Billy Wilder', None];['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']
11;Incendies;2010;Tous publics avec avertissement;131;['Drama', ' Mystery            '];8.3;80;Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.;['Denis Villeneuve', None];['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel']
12;La mort aux trousses;1959;Tous publics;136;['Action', ' Adventure', ' Mystery            '];8.3;98;A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.;['Alfred Hitchcock', None];['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']
13;Sueurs froides;1958;Tous publics;128;['Mystery', ' Romance', ' Thriller            '];8.3;100;A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.;['Alfred Hitchcock', None];['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']
14;Assurance sur la mort;1944;Tous publics;107;['Crime', ' Drama', ' Film-Noir            '];8.3;95;A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.;['Billy Wilder', None];['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr']
15;Citizen Kane;1941;Tous publics;119;['Drama', ' Mystery            '];8.3;100;Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.';['Orson Welles', None];['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']
