;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;Dangal;2016;Tous publics;161;['Action', ' Biography', ' Drama            '];8.3;-1;Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.;['Nitesh Tiwari', None];['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']
1;Pocket Hercules: Naim Süleymanoglu;2019;Tous publics;141;['Biography', ' Drama', ' Sport            '];8.2;-1;The biography of Turkish weight lifter, and champion of Olympics, Naim Suleymanoglu.;['Özer Feyzioglu', None];['Hayat Van Eck', 'Selen Öztürk', 'Yetkin Dikinciler', 'Gürkan Uygun']
2;Warrior;2011;Tous publics;140;['Action', ' Drama', ' Sport            '];8.2;71;The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.;"[""Gavin O'Connor"", None]";['Tom Hardy', 'Nick Nolte', 'Joel Edgerton', 'Jennifer Morrison']
3;Jo Jeeta Wohi Sikandar;1992;NaN;174;['Comedy', ' Drama', ' Romance            '];8.2;-1;A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.;['Mansoor Khan', None];['Aamir Khan', 'Ayesha Jhulka', 'Deepak Tijori', 'Pooja Bedi']
4;Raging Bull;1980;12;129;['Biography', ' Drama', ' Sport            '];8.2;89;The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.;['Martin Scorsese', None];['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']
5;Rush;I) (2013;Tous publics;123;['Action', ' Biography', ' Drama            '];8.1;74;The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.;['Ron Howard', None];['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde', 'Alexandra Maria Lara']
6;Le Mans '66;2019;Tous publics;152;['Action', ' Biography', ' Drama            '];8.1;81;American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.;['James Mangold', None];['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitríona Balfe']
7;Million Dollar Baby;2004;Tous publics;132;['Drama', ' Sport            '];8.1;86;A determined woman works with a hardened boxing trainer to become a professional.;['Clint Eastwood', None];['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel']
8;Lagaan;2001;Tous publics;224;['Drama', ' Musical', ' Sport            '];8.1;84;The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.;['Ashutosh Gowariker', None];['Aamir Khan', 'Raghuvir Yadav', 'Gracy Singh', 'Rachel Shelley']
9;Rocky;1976;Tous publics;120;['Drama', ' Sport            '];8.1;70;A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.;['John G. Avildsen', None];['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']
