;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;Il faut sauver le soldat Ryan;1998;Tous publics avec avertissement;169;['Drama', ' War            '];8.6;91;Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.;['Steven Spielberg', None];['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']
1;La vie est belle;1997;Tous publics;116;['Comedy', ' Drama', ' Romance            '];8.6;59;When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.;['Roberto Benigni', None];['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']
2;Joli village, jolie flamme;1996;NaN;115;['Comedy', ' Drama', ' History            '];8.6;-1;During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature.;['Srdjan Dragojevic', None];['Dragan Bjelogrlic', 'Nikola Kojo', 'Dragan Maksimovic', 'Zoran Cvijanovic']
3;Le pianiste;2002;Tous publics;150;['Biography', ' Drama', ' Music            '];8.5;85;A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.;['Roman Polanski', None];['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']
4;Apocalypse Now;1979;Tous publics avec avertissement;147;['Drama', ' Mystery', ' War            '];8.5;94;A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.;['Francis Ford Coppola', None];['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']
5;Casablanca;1942;Tous publics;102;['Drama', ' Romance', ' War            '];8.5;100;A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.;['Michael Curtiz', None];['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']
6;Braveheart;1995;Tous publics;178;['Biography', ' Drama', ' History            '];8.4;68;Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.;['Mel Gibson', None];['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']
7;Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !;1964;Tous publics;95;['Comedy', ' War            '];8.4;97;An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.;['Stanley Kubrick', None];['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']
8;Les sentiers de la gloire;1957;(Banned);88;['Drama', ' War            '];8.4;90;After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.;['Stanley Kubrick', None];['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']
9;Le Dictateur;1940;Tous publics;125;['Comedy', ' Drama', ' War            '];8.4;-1;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.;['Charles Chaplin', None];['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']
10;Ayla;2017;NaN;125;['Biography', ' Drama', ' History            '];8.3;-1;"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »
";['Can Ulkay', None];['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']
11;Inglourious Basterds;2009;12;153;['Adventure', ' Drama', ' War            '];8.3;69;In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.;['Quentin Tarantino', None];['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']
12;Full Metal Jacket;1987;13;116;['Drama', ' War            '];8.3;76;A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;['Stanley Kubrick', None];"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"", 'Adam Baldwin']"
13;Lawrence d'Arabie;1962;Tous publics;218;['Adventure', ' Biography', ' Drama            '];8.3;100;The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.;['David Lean', None];"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']"
14;Jugement à Nuremberg;1961;Tous publics;179;['Drama', ' War            '];8.3;60;In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.;['Stanley Kramer', None];['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']
15;1917;2019;Tous publics avec avertissement;119;['Action', ' Drama', ' War            '];8.2;78;April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.;['Sam Mendes', None];['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']
16;La chute;2004;Tous publics avec avertissement;156;['Biography', ' Drama', ' History            '];8.2;82;Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.;['Oliver Hirschbiegel', None];['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler']
17;Le Lion du désert;1980;Tous publics;173;['Biography', ' Drama', ' History            '];8.2;-1;In 1929, Italian Fascist dictator Benito Mussolini appoints General Rodolfo Graziani as colonial governor to Italian Libya with orders to stamp-out all resistance from Libyan nationalists led by rebel guerrilla leader Omar Mukhtar.;['Moustapha Akkad', None];['Anthony Quinn', 'Oliver Reed', 'Rod Steiger', 'Irene Papas']
