;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
0;Le Bon, la brute, le truand;1966;12;161;['Adventure', ' Western            '];8.8;90;A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.;['Sergio Leone', None];['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']
1;Il était une fois dans l'Ouest;1968;Tous publics;165;['Western            '];8.5;80;A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.;['Sergio Leone', None];['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']
2;Django Unchained;2012;12;165;['Drama', ' Western            '];8.4;81;With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.;['Quentin Tarantino', None];['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']
3;Impitoyable;1992;Tous publics;130;['Drama', ' Western            '];8.2;85;"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""";['Clint Eastwood', None];['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris']
4;...et pour quelques dollars de plus;1965;18;132;['Western            '];8.2;74;Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.;['Sergio Leone', None];['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè', 'Mara Krupp']
5;Le Trésor de la Sierra Madre;1948;Tous publics;126;['Adventure', ' Drama', ' Western            '];8.2;98;Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.;['John Huston', None];['Humphrey Bogart', 'Walter Huston', 'Tim Holt', 'Bruce Bennett']
6;La ruée vers l'or;1925;Tous publics;95;['Adventure', ' Comedy', ' Drama            '];8.2;-1;A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.;['Charles Chaplin', None];['Charles Chaplin', 'Mack Swain', 'Tom Murray', 'Henry Bergman']
7;L'homme qui tua Liberty Valance;1962;12;123;['Drama', ' Western            '];8.1;94;A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.;['John Ford', None];['James Stewart', 'John Wayne', 'Vera Miles', 'Lee Marvin']
8;Les rapaces;1924;Tous publics;140;['Drama', ' Thriller', ' Western            '];8.1;-1;The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.;['Erich von Stroheim', None];['Gibson Gowland', 'Zasu Pitts', 'Jean Hersholt', 'Dale Fuller']
9;The Revenant;2015;12;156;['Action', ' Adventure', ' Drama            '];8.0;76;A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.;['Alejandro G. Iñárritu', None];['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson']
10;Danse avec les loups;1990;Tous publics;181;['Adventure', ' Drama', ' Western            '];8.0;72;Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.;['Kevin Costner', None];['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant']
11;Butch Cassidy et le Kid;1969;Tous publics;110;['Biography', ' Crime', ' Drama            '];8.0;66;Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.;['George Roy Hill', None];['Paul Newman', 'Robert Redford', 'Katharine Ross', 'Strother Martin']
12;Rio Bravo;1959;NaN;141;['Western            '];8.0;93;A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.;['Howard Hawks', None];['John Wayne', 'Dean Martin', 'Ricky Nelson', 'Angie Dickinson']
13;Le train sifflera trois fois;1952;Tous publics;85;['Drama', ' Thriller', ' Western            '];8.0;89;"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train.";['Fred Zinnemann', None];['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell', 'Lloyd Bridges']
14;L'étrange incident;1942;Tous Public;75;['Drama', ' Western            '];8.0;-1;When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men.;['William A. Wellman', None];['Henry Fonda', 'Dana Andrews', 'Mary Beth Hughes', 'Anthony Quinn']
15;La Horde sauvage;1969;18;145;['Action', ' Adventure', ' Western            '];7.9;97;"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.";['Sam Peckinpah', None];"['William Holden', 'Ernest Borgnine', 'Robert Ryan', ""Edmond O'Brien""]"
16;Les grands espaces;1958;Tous Public;166;['Romance', ' Western            '];7.9;-1;A New England sea captain in the 1880s arrives at his fiancée's sprawling Texas ranch, where he becomes embroiled in a feud between two families over a valuable patch of land.;['William Wyler', None];['Gregory Peck', 'Jean Simmons', 'Carroll Baker', 'Charlton Heston']
17;La prisonnière du désert;1956;Tous publics;119;['Adventure', ' Drama', ' Western            '];7.9;94;An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.;['John Ford', None];['John Wayne', 'Jeffrey Hunter', 'Vera Miles', 'Ward Bond']
